university,course_name,annual_fees,admission_mode,duration
Nanyang Technological University,MSc Business Analytics,32171,Merit Based,2 years
University of Cambridge,MSc Cyber Security,27493,Merit Based,1 year
IIT Bombay,MBA,34546,GATE,2 years
ETH Zurich,MCA,50893,Merit Based,1 year
Nanyang Technological University,MSc Machine Learning,52135,Merit Based,1 year
Manipal Academy of Higher Education,MSc Civil Engineering,27398,University Exam,1 year
University of Cambridge,MSc Mechanical Engineering,47575,Interview + Test,2 years
Mahidol University,MTech Computer Science,20353,Entrance Exam,1 year
IIT Delhi,MSc Mechanical Engineering,54821,Interview + Test,1 year
Nanyang Technological University,MSc Physics,46955,University Exam,2 years
Indian Institute of Science,MSc Mechanical Engineering,30904,Merit Based,1 year
IIT Delhi,MSc Mechanical Engineering,31480,Interview + Test,1 year
University of Tokyo,MSc Machine Learning,34142,Merit Based,1 year
University of Delhi,MSc Physics,14215,Entrance Exam,1 year
IIT Madras,MSc Machine Learning,30845,Entrance Exam,1 year
University of Oxford,MSc Business Analytics,54931,Merit Based,1 year
Stanford University,MSc Chemistry,31683,Merit Based,1 year
University of Tokyo,MBA,34893,University Exam,1 year
Massachusetts Institute of Technology,MSc Data Science,42228,Interview + Test,2 years
Manipal Academy of Higher Education,MSc Physics,58122,University Exam,2 years
Chulalongkorn University,MSc Data Science,32942,GRE,2 years
Mahidol University,MSc Mechanical Engineering,48986,GRE,2 years
Harvard University,MSc Computer Science,18101,University Exam,2 years
Massachusetts Institute of Technology,MSc Artificial Intelligence,37456,University Exam,1 year
University of Cambridge,MCA,45772,Entrance Exam,1 year
Technical University of Munich,MSc Machine Learning,44775,University Exam,1 year
Chulalongkorn University,MSc Software Engineering,31167,University Exam,1 year
University of Oxford,MSc Machine Learning,48163,GATE,2 years
IIT Delhi,MSc Biotechnology,56776,Merit Based,1 year
University of Cambridge,MSc Business Analytics,33448,Merit Based,2 years
Stanford University,MCA,48209,GATE,2 years
Mahidol University,MSc Artificial Intelligence,30011,Merit Based,1 year
University of Delhi,MSc Computer Science,57973,Interview + Test,2 years
Indian Institute of Science,MSc Data Science,31692,University Exam,2 years
ETH Zurich,MSc Computer Science,19579,GRE,2 years
IIT Bombay,MTech Computer Science,26497,University Exam,2 years
University of Cambridge,MSc Physics,31772,University Exam,2 years
Indian Institute of Science,MBA,33008,Entrance Exam,1 year
Anna University,MSc Artificial Intelligence,28719,GRE,1 year
Kyoto University,MSc Cyber Security,46711,University Exam,1 year
Mahidol University,MSc Artificial Intelligence,56987,University Exam,1 year
IIT Bombay,MBA,26971,Merit Based,2 years
ETH Zurich,MSc Mechanical Engineering,15306,University Exam,1 year
University of Oxford,MSc Biotechnology,56325,Merit Based,2 years
Manipal Academy of Higher Education,MSc Computer Science,44958,Interview + Test,1 year
Massachusetts Institute of Technology,MSc Chemistry,52430,Interview + Test,1 year
University of Cambridge,MSc Artificial Intelligence,51319,GATE,1 year
University of Cambridge,MSc Software Engineering,37608,University Exam,1 year
ETH Zurich,MSc Artificial Intelligence,26601,Merit Based,2 years
ETH Zurich,MSc Machine Learning,28940,University Exam,1 year
ETH Zurich,MSc Mechanical Engineering,41548,GATE,2 years
Manipal Academy of Higher Education,MSc Mechanical Engineering,37335,Entrance Exam,1 year
Massachusetts Institute of Technology,MCA,57225,Merit Based,2 years
Vietnam National University Hanoi,MSc Civil Engineering,22844,Entrance Exam,2 years
Manipal Academy of Higher Education,MSc Artificial Intelligence,29997,University Exam,2 years
ETH Zurich,MSc Mechanical Engineering,46823,Merit Based,1 year
University of Tokyo,MBA,50466,Entrance Exam,1 year
Nanyang Technological University,MSc Business Analytics,23784,Merit Based,2 years
National University of Singapore,MSc Machine Learning,46268,Interview + Test,1 year
Technical University of Munich,MSc Business Analytics,18046,Interview + Test,2 years
IIT Delhi,MSc Cyber Security,54912,GRE,2 years
Harvard University,MSc Civil Engineering,8040,GRE,2 years
Vietnam National University Hanoi,MSc Physics,44065,Entrance Exam,2 years
IIT Delhi,MSc Cyber Security,16196,GRE,1 year
Vietnam National University Hanoi,MSc Biotechnology,23098,GRE,1 year
University of Cambridge,MCA,33520,University Exam,1 year
IIT Bombay,MBA,43137,University Exam,2 years
University of Cambridge,MSc Biotechnology,21008,University Exam,1 year
Technical University of Munich,MSc Physics,58832,Merit Based,1 year
University of Cambridge,MBA,24337,GRE,2 years
IIT Delhi,MSc Data Science,27572,GATE,1 year
Kyoto University,MSc Mechanical Engineering,27183,Merit Based,1 year
National University of Singapore,MSc Mathematics,37272,Entrance Exam,1 year
Massachusetts Institute of Technology,MCA,31451,GRE,2 years
Anna University,MSc Electrical Engineering,35928,University Exam,2 years
Mahidol University,MSc Business Analytics,27056,GRE,1 year
University of Delhi,MSc Computer Science,32476,GATE,1 year
Technical University of Munich,MBA,27075,GRE,2 years
Kyoto University,MSc Biotechnology,10935,GRE,2 years
Mahidol University,MSc Electrical Engineering,8362,Merit Based,1 year
Anna University,MSc Mechanical Engineering,18807,GRE,1 year
University of Cambridge,MSc Physics,51603,Entrance Exam,2 years
National University of Singapore,MSc Computer Science,27597,GATE,1 year
University of Tokyo,MSc Data Science,47912,Interview + Test,1 year
IIT Delhi,MSc Civil Engineering,11122,Merit Based,1 year
Mahidol University,MSc Mechanical Engineering,8119,GRE,1 year
Stanford University,MSc Machine Learning,17680,Merit Based,1 year
University of Tokyo,MSc Software Engineering,34819,Interview + Test,1 year
Anna University,MSc Artificial Intelligence,21930,University Exam,2 years
Nanyang Technological University,MSc Chemistry,37136,University Exam,1 year
IIT Bombay,MSc Electrical Engineering,9494,University Exam,2 years
University of Oxford,MSc Business Analytics,48127,Entrance Exam,2 years
University of Delhi,MSc Business Analytics,58317,Merit Based,2 years
Manipal Academy of Higher Education,MSc Mechanical Engineering,44732,Entrance Exam,1 year
Harvard University,MSc Physics,30379,GRE,1 year
Anna University,MSc Chemistry,54468,Merit Based,1 year
Technical University of Munich,MSc Civil Engineering,16267,Entrance Exam,1 year
Massachusetts Institute of Technology,MSc Civil Engineering,29914,Merit Based,2 years
Massachusetts Institute of Technology,MTech Computer Science,57702,Entrance Exam,2 years
University of Oxford,MSc Cyber Security,14340,Merit Based,2 years
Mahidol University,MSc Artificial Intelligence,50814,Entrance Exam,2 years
IIT Bombay,MBA,12275,Interview + Test,2 years
Technical University of Munich,MTech Computer Science,13774,Entrance Exam,2 years
National University of Singapore,MCA,34723,University Exam,1 year
University of Cambridge,MSc Computer Science,36433,Interview + Test,1 year
University of Oxford,MTech Computer Science,57786,Interview + Test,1 year
Stanford University,MSc Chemistry,24994,GRE,1 year
University of Cambridge,MSc Business Analytics,55165,Merit Based,1 year
Harvard University,MSc Cyber Security,31986,Entrance Exam,2 years
University of Oxford,MSc Data Science,13361,GRE,1 year
IIT Delhi,MSc Mathematics,47657,Merit Based,2 years
Stanford University,MSc Biotechnology,16505,GATE,2 years
ETH Zurich,MSc Mathematics,13235,GATE,2 years
ETH Zurich,MBA,35557,GATE,1 year
National University of Singapore,MCA,32720,GRE,1 year
Harvard University,MCA,12995,Merit Based,2 years
Manipal Academy of Higher Education,MSc Cyber Security,26755,GATE,1 year
Mahidol University,MSc Cyber Security,56864,University Exam,1 year
Nanyang Technological University,MSc Business Analytics,43299,GATE,1 year
Vietnam National University Hanoi,MTech Computer Science,22106,GRE,1 year
Stanford University,MSc Mechanical Engineering,40048,GATE,2 years
University of Cambridge,MSc Electrical Engineering,21443,University Exam,1 year
Massachusetts Institute of Technology,MSc Data Science,31252,Entrance Exam,2 years
Kyoto University,MSc Physics,22922,Merit Based,2 years
Harvard University,MSc Chemistry,10420,GATE,2 years
University of Oxford,MSc Mathematics,30833,Entrance Exam,1 year
Harvard University,MSc Machine Learning,36554,GATE,2 years
Harvard University,MSc Data Science,39666,GATE,1 year
University of Cambridge,MSc Software Engineering,23469,Interview + Test,1 year
IIT Delhi,MBA,9683,Entrance Exam,2 years
IIT Madras,MSc Chemistry,30324,University Exam,2 years
University of Cambridge,MCA,35183,GRE,2 years
Vietnam National University Hanoi,MSc Mathematics,42593,GATE,2 years
IIT Bombay,MCA,12531,GRE,2 years
Massachusetts Institute of Technology,MSc Electrical Engineering,29257,University Exam,2 years
Stanford University,MSc Artificial Intelligence,53734,GRE,1 year
Chulalongkorn University,MSc Business Analytics,9399,Merit Based,2 years
Massachusetts Institute of Technology,MSc Machine Learning,29617,Interview + Test,2 years
Nanyang Technological University,MCA,22041,University Exam,2 years
IIT Delhi,MSc Data Science,17484,GATE,2 years
ETH Zurich,MSc Civil Engineering,21413,Entrance Exam,2 years
Manipal Academy of Higher Education,MSc Chemistry,55644,Interview + Test,1 year
Vietnam National University Hanoi,MSc Civil Engineering,40273,Interview + Test,1 year
University of Delhi,MSc Physics,38021,Interview + Test,1 year
Kyoto University,MSc Machine Learning,44328,Merit Based,1 year
Chulalongkorn University,MSc Business Analytics,18927,Merit Based,2 years
Kyoto University,MCA,15919,Merit Based,2 years
Stanford University,MCA,46770,GRE,2 years
IIT Bombay,MSc Artificial Intelligence,20865,Interview + Test,2 years
IIT Madras,MSc Business Analytics,32415,University Exam,2 years
University of Delhi,MSc Physics,50615,GATE,1 year
Technical University of Munich,MSc Civil Engineering,45252,University Exam,1 year
University of Delhi,MSc Data Science,51720,Entrance Exam,1 year
Nanyang Technological University,MSc Mathematics,50141,University Exam,2 years
Kyoto University,MSc Electrical Engineering,13606,Merit Based,1 year
Harvard University,MSc Biotechnology,59521,University Exam,2 years
Vietnam National University Hanoi,MSc Machine Learning,45300,GATE,2 years
Mahidol University,MSc Machine Learning,56775,Merit Based,2 years
Massachusetts Institute of Technology,MSc Software Engineering,8789,GATE,2 years
University of Delhi,MSc Cyber Security,53731,Entrance Exam,1 year
IIT Bombay,MSc Machine Learning,38247,Interview + Test,1 year
IIT Madras,MSc Biotechnology,49867,GRE,1 year
Vietnam National University Hanoi,MSc Civil Engineering,31195,GATE,1 year
University of Tokyo,MSc Business Analytics,14964,GRE,2 years
University of Cambridge,MCA,58989,Entrance Exam,1 year
IIT Madras,MSc Software Engineering,22422,Interview + Test,2 years
Vietnam National University Hanoi,MSc Data Science,59036,GATE,2 years
University of Tokyo,MSc Physics,25068,GRE,2 years
IIT Delhi,MSc Chemistry,29690,Merit Based,1 year
