name,location,university_type,accreditation,ranking_score,actual_location
University of Washington,USA,Public,NWCCU,7.18,"Seattle, Washington, USA"
University of California Berkeley,USA,Public,WASC,6.7,"Berkeley, California, USA"
University of Helsinki,Finland,Public,FINHEEC,8.32,"Helsinki, Finland"
Indian Institute of Technology Kharagpur,India,Public,NAAC A,8.14,"Kharagpur, West Bengal, India"
Banaras Hindu University,India,Public,NAAC A,8.33,"Varanasi, Uttar Pradesh, India"
Amrita Vishwa Vidyapeetham,India,Private,NAAC A++,7.66,"Coimbatore, Tamil Nadu, India"
University of Cambridge,United Kingdom,Public,QAA,8.37,"Cambridge, England, UK"
Delft University of Technology,Netherlands,Public,NVAO,8.14,"Delft, Netherlands"
Columbia University,USA,Private,MSCHE,8.95,"New York City, New York, USA"
National University of Singapore,Singapore,Public,AACSB,8.07,Singapore
Nagoya University,Japan,Public,MEXT,8.49,"Nagoya, Japan"
Manipal Academy of Higher Education,India,Private,NAAC A++,8.28,"Manipal, Karnataka, India"
University of Copenhagen,Denmark,Public,Danish Accreditation,8.97,"Copenhagen, Denmark"
Princeton University,USA,Private,MSCHE,8.53,"Princeton, New Jersey, USA"
Singapore Management University,Singapore,Public,AACSB,6.91,Singapore
University of Cambridge,United Kingdom,Public,QAA,7.97,"Cambridge, England, UK"
University College London,United Kingdom,Public,QAA,8.95,"London, England, UK"
Manipal Academy of Higher Education,India,Private,NAAC A++,7.93,"Manipal, Karnataka, India"
Tohoku University,Japan,Public,MEXT,6.76,"Sendai, Japan"
Kyoto University,Japan,Public,MEXT,7.93,"Kyoto, Japan"
Nagoya University,Japan,Public,MEXT,6.88,"Nagoya, Japan"
Jawaharlal Nehru University,India,Public,NAAC A++,9.11,"New Delhi, India"
Karlsruhe Institute of Technology,Germany,Public,German Accreditation Council,8.6,"Karlsruhe, Germany"
University of Paris,France,Public,HCERES,7.84,"Paris, France"
Ludwig Maximilian University of Munich,Germany,Public,German Accreditation Council,7.36,"Munich, Germany"
Osaka University,Japan,Public,MEXT,7.87,"Osaka, Japan"
Indian Institute of Technology Delhi,India,Public,NAAC A,9.2,"New Delhi, India"
Indian Institute of Technology Delhi,India,Public,NAAC A,9.34,"New Delhi, India"
Jadavpur University,India,Public,NAAC A,8.46,"Kolkata, West Bengal, India"
Manipal Academy of Higher Education,India,Private,NAAC A++,6.72,"Manipal, Karnataka, India"
ETH Zurich,Switzerland,Public,Swiss Accreditation Council,7.33,"Zurich, Switzerland"
University of California Los Angeles,USA,Public,WASC,8.14,"Los Angeles, California, USA"
University of Helsinki,Finland,Public,FINHEEC,7.61,"Helsinki, Finland"
Indian Institute of Technology Kharagpur,India,Public,NAAC A,9.01,"Kharagpur, West Bengal, India"
Banaras Hindu University,India,Public,NAAC A,7.4,"Varanasi, Uttar Pradesh, India"
Banaras Hindu University,India,Public,NAAC A,8.43,"Varanasi, Uttar Pradesh, India"
University of Copenhagen,Denmark,Public,Danish Accreditation,9.83,"Copenhagen, Denmark"
University of Washington,USA,Public,NWCCU,9.45,"Seattle, Washington, USA"
University of Warwick,United Kingdom,Public,QAA,6.83,"Coventry, England, UK"
University of Michigan,USA,Public,HLC,8.49,"Ann Arbor, Michigan, USA"
University of Tokyo,Japan,Public,MEXT,7.86,"Tokyo, Japan"
Georgia Institute of Technology,USA,Public,SACSCOC,7.55,"Atlanta, Georgia, USA"
Hokkaido University,Japan,Public,MEXT,9.65,"Sapporo, Japan"
Banaras Hindu University,India,Public,NAAC A,8.44,"Varanasi, Uttar Pradesh, India"
University of Washington,USA,Public,NWCCU,8.64,"Seattle, Washington, USA"
Nagoya University,Japan,Public,MEXT,8.16,"Nagoya, Japan"
Hanoi University of Science and Technology,Vietnam,Public,MOET,6.62,"Hanoi, Vietnam"
University of Tokyo,Japan,Public,MEXT,7.27,"Tokyo, Japan"
EPFL Lausanne,Switzerland,Public,Swiss Accreditation Council,7.31,"Lausanne, Switzerland"
University of Delhi,India,Public,NAAC A+,9.5,"New Delhi, India"
University of Paris,France,Public,HCERES,9.37,"Paris, France"
Jadavpur University,India,Public,NAAC A,6.8,"Kolkata, West Bengal, India"
Columbia University,USA,Private,MSCHE,8.19,"New York City, New York, USA"
Massachusetts Institute of Technology,USA,Private,ABET,8.63,"Cambridge, Massachusetts, USA"
University of California Berkeley,USA,Public,WASC,8.58,"Berkeley, California, USA"
Heidelberg University,Germany,Public,German Accreditation Council,8.1,"Heidelberg, Germany"
Manipal Academy of Higher Education,India,Private,NAAC A++,6.65,"Manipal, Karnataka, India"
University of Delhi,India,Public,NAAC A+,6.65,"New Delhi, India"
Imperial College London,United Kingdom,Public,QAA,7.07,"London, England, UK"
Georgia Institute of Technology,USA,Public,SACSCOC,8.88,"Atlanta, Georgia, USA"
University of Bristol,United Kingdom,Public,QAA,8.55,"Bristol, England, UK"
University of Warwick,United Kingdom,Public,QAA,7.02,"Coventry, England, UK"
Osaka University,Japan,Public,MEXT,8.79,"Osaka, Japan"
King's College London,United Kingdom,Public,QAA,9.16,"London, England, UK"
Kyoto University,Japan,Public,MEXT,9.29,"Kyoto, Japan"
University of Copenhagen,Denmark,Public,Danish Accreditation,9.7,"Copenhagen, Denmark"
University of Texas Austin,USA,Public,SACSCOC,7.82,"Austin, Texas, USA"
Yale University,USA,Private,NECHE,6.55,"New Haven, Connecticut, USA"
University of California Los Angeles,USA,Public,WASC,8.7,"Los Angeles, California, USA"
University of Texas Austin,USA,Public,SACSCOC,9.29,"Austin, Texas, USA"
Thammasat University,Thailand,Public,ONESQA,6.95,"Bangkok, Thailand"
Banaras Hindu University,India,Public,NAAC A,9.43,"Varanasi, Uttar Pradesh, India"
